idarea,region
1,강원도강릉시
2,강원도고성군
3,강원도동해시
4,강원도삼척시
5,강원도속초시
6,강원도양구군
7,강원도양양군
8,강원도영월군
9,강원도원주시
10,강원도인제군
11,강원도정선군
12,강원도철원군
13,강원도춘천시
14,강원도태백시
15,강원도평창군
16,강원도홍천군
17,강원도화천군
18,강원도횡성군
19,경기도가평군
20,경기도고양시
21,경기도과천시
22,경기도광명시
23,경기도광주시
24,경기도구리시
25,경기도군포시
26,경기도김포시
27,경기도남양주시
28,경기도동두천시
29,경기도부천시
30,경기도성남시
31,경기도수원시
32,경기도시흥시
33,경기도안산시
34,경기도안성시
35,경기도안양시
36,경기도양주시
37,경기도양평군
38,경기도여주시
39,경기도연천군
40,경기도오산시
41,경기도용인시
42,경기도의왕시
43,경기도의정부시
44,경기도이천시
45,경기도파주시
46,경기도평택시
47,경기도포천시
48,경기도하남시
49,경기도화성시
50,경상남도거창군
51,경상남도고성군
52,경상남도김해시
53,경상남도밀양시
54,경상남도사천시
55,경상남도산청군
56,경상남도양산시
57,경상남도의령군
58,경상남도진주시
59,경상남도창녕군
60,경상남도창원시
61,경상남도통영시
62,경상남도하동군
63,경상남도함안군
64,경상남도함양군
65,경상남도합천군
66,경상북도경산시
67,경상북도경주시
68,경상북도고령군
69,경상북도구미시
70,경상북도김천시
71,경상북도문경시
72,경상북도봉화군
73,경상북도상주시
74,경상북도성주군
75,경상북도안동시
76,경상북도영덕군
77,경상북도영양군
78,경상북도영주시
79,경상북도영천시
80,경상북도예천군
81,경상북도울진군
82,경상북도의성군
83,경상북도청도군
84,경상북도청송군
85,경상북도칠곡군
86,경상북도포항시
87,광주시광산구
88,광주시남구
89,광주시동구
90,광주시북구
91,광주시서구
92,대구시군위군
93,대구시남구
94,대구시달서구
95,대구시달성군
96,대구시동구
97,대구시북구
98,대구시서구
99,대구시수성구
100,대구시중구
101,대전시대덕구
102,대전시동구
103,대전시서구
104,대전시유성구
105,대전시중구
106,부산시강서구
107,부산시금정구
108,부산시기장군
109,부산시남구
110,부산시동구
111,부산시동래구
112,부산시부산진구
113,부산시북구
114,부산시사상구
115,부산시사하구
116,부산시서구
117,부산시수영구
118,부산시연제구
119,부산시영도구
120,부산시중구
121,부산시해운대구
122,서울시강남구
123,서울시강동구
124,서울시강북구
125,서울시강서구
126,서울시관악구
127,서울시광진구
128,서울시구로구
129,서울시금천구
130,서울시노원구
131,서울시도봉구
132,서울시동대문구
133,서울시동작구
134,서울시마포구
135,서울시서대문구
136,서울시서초구
137,서울시성동구
138,서울시성북구
139,서울시송파구
140,서울시양천구
141,서울시영등포구
142,서울시용산구
143,서울시은평구
144,서울시종로구
145,서울시중구
146,서울시중랑구
147,세종시세종시
148,울산시남구
149,울산시동구
150,울산시북구
151,울산시울주군
152,울산시중구
153,인천시강화군
154,인천시계양구
155,인천시남구
156,인천시남동구
157,인천시동구
158,인천시부평구
159,인천시서구
160,인천시연수구
161,인천시중구
162,전라남도강진군
163,전라남도고흥군
164,전라남도곡성군
165,전라남도광양시
166,전라남도구례군
167,전라남도나주시
168,전라남도담양군
169,전라남도목포시
170,전라남도무안군
171,전라남도보성군
172,전라남도순천시
173,전라남도신안군
174,전라남도여수시
175,전라남도영광군
176,전라남도영암군
177,전라남도장성군
178,전라남도장흥군
179,전라남도함평군
180,전라남도해남군
181,전라남도화순군
182,전라북도고창군
183,전라북도군산시
184,전라북도김제시
185,전라북도남원시
186,전라북도무주군
187,전라북도부안군
188,전라북도순창군
189,전라북도완주군
190,전라북도익산시
191,전라북도임실군
192,전라북도장수군
193,전라북도전주시
194,전라북도정읍시
195,전라북도진안군
196,제주도서귀포시
197,제주도제주시
198,충청남도계룡시
199,충청남도공주시
200,충청남도금산군
201,충청남도논산시
202,충청남도당진시
203,충청남도보령시
204,충청남도부여군
205,충청남도서산시
206,충청남도서천군
207,충청남도아산시
208,충청남도예산군
209,충청남도천안시
210,충청남도청양군
211,충청남도태안군
212,충청남도홍성군
213,충청북도괴산군
214,충청북도단양군
215,충청북도보은군
216,충청북도영동군
217,충청북도옥천군
218,충청북도음성군
219,충청북도제천시
220,충청북도증평군
221,충청북도진천군
222,충청북도청주시
223,충청북도충주시
